,Nairobi,Central,Eastern,Rift Valley,Nyanza,Western,North Eastern,"Coast
"
None,0.03,0.01,0.01,0.04,0.01,0.02,0.00,0.03
Christian only,0.41,0.19,0.22,0.26,0.11,0.44,0.01,.289
Roman Catholic,0.18,0.31,0.33,0.20,0.34,0.15,0.00,".170
"
Orthodox,0.02,0.01,0.00,0.01,0.00,0.00,0.00,"0
"
Anglican,0.08,0.12,0.01,0.07,0.03,0.06,0.00,0.03
Lutheran,0.00,0.01,0.00,0.00,0.00,0.00,0.00,"0
"
Methodist,0.01,0.00,0.06,0.01,0.00,0.00,0.00,0.04
Presbyterian,0.00,0.06,0.02,0.01,0.01,0.00,0.01,"0
"
Baptist,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.01
Quaker / Friends,0.01,0.01,0.00,0.00,0.01,0.04,0.00,"0
"
Mennonite,0.00,0.00,0.00,0.01,0.00,0.00,0.00,"0
"
Evangelical,0.02,0.05,0.01,0.04,0.00,0.00,0.00,0.04
Pentecostal,0.04,0.15,0.12,0.13,0.08,0.06,0.00,0.09
Independent,0.02,0.04,0.10,0.05,0.03,0.02,0.00,0.02
Jehovah’s Witness,0.00,0.00,0.00,0.00,0.01,0.00,0.00,"0
"
Seventh Day Adventist,0.05,0.02,0.02,0.05,0.29,0.02,0.01,0.02
Mormon,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Muslim only,0.10,0.00,0.06,0.00,0.01,0.02,0.98,0.32
Sunni only,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Traditional / ethnic religion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0
"
Atheist,0.00,0.00,0.00,0.00,0.00,0.01,0.00,"0
"
Dutch Reformed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0
"
Church of Christ,0.01,0.00,0.00,0.02,0.01,0.00,0.00,"0
"
Zionist Christian Church,0.00,0.00,0.00,0.01,0.00,0.00,0.00,"0
"
Other,0.01,0.04,0.03,0.08,0.07,0.17,0.00,"0
"
Don´t know,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
,,,,,,,,
,,,,,,,,
,,,,,,,,
